,EDOP,NDOP,HDOP,VDOP,TDOP,GDOP
0,,,,,,
1,,,,,,
2,0.7613614060946534,0.8405677570054673,1.1341187525156393,0.5130246088045187,0.20082524513465996,1.2608530339139672
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,0.8301588440687588,0.8544437316913644,1.1913176725845387,0.43455849726935486,0.20244396834882894,1.2841582631755573
8,,,,,,
9,0.8639637942289622,0.8306192336774719,1.1984831033825447,0.43388321506513494,0.198305779105109,1.2899385936683954
10,,,,,,
11,,,,,,
12,,,,,,
13,1.0631517914728312,0.9306241426890001,1.412923574248631,0.6154656250392059,0.28559082602070274,1.5673905327580662
14,,,,,,
15,0.9885743138029047,1.0186275552548518,1.419465135265872,1.287634522423213,0.41888003236043236,1.961719759568551
16,1.0015167967118135,0.9497429605868074,1.3802346124047484,1.2013181333405496,0.3804136983093838,1.8689375122337106
17,1.0113883836950686,0.9917512451402378,1.41650167487036,1.2942665481646143,0.41550316113591684,1.9632233111702857
18,,,,,,
19,1.0234028622988778,0.8429182144003998,1.3258448381049324,0.7802896237471912,0.2540866198985574,1.5592550920450772
20,1.0088265847760822,0.7411590040830234,1.2518177772680468,0.48093419428939027,0.19884264540854923,1.3556857469023447
