,EDOP,NDOP,HDOP,VDOP,TDOP,GDOP
0,,,,,,
1,,,,,,
2,0.9022145623704613,0.7706701235161316,1.1865595458440727,0.4474448367915353,0.2100375819643812,1.2853973018652793
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,0.8826508403671747,0.7932128541987552,1.1867009471922634,0.4094419006570923,0.20147362706598346,1.271413949303621
8,,,,,,
9,0.8016680627561443,0.8093079142138904,1.1391448471781045,0.39017045610860246,0.19070920160521168,1.2191201611200264
10,,,,,,
11,,,,,,
12,,,,,,
13,1.0374933221690843,0.9915024323734936,1.4350851775933016,0.5210984406772133,0.27335203136625036,1.5510429990417018
14,,,,,,
15,1.0988224730975995,0.9957311486895065,1.4828659237621076,1.0860397606049474,0.43490707124789474,1.888787407330725
16,1.2030890756280501,1.048231007596338,1.595685297664295,1.3534008181567891,0.5577897223996064,2.165417908438019
17,1.19125487282664,1.065255929151438,1.5980795870749078,1.3599675663410364,0.5660780471470344,2.1734338047400636
18,,,,,,
19,0.9259880234838981,1.0449275986239894,1.396183192135514,0.6663909957693878,0.30372327648237923,1.5765951585367186
20,0.7469631294211034,0.9242703103564734,1.188372636558508,0.46520025046131547,0.2097898187142606,1.2933106990922378
